Memory Size, Upload To GPU Time (us), Upload To GPU Speed (GiB/s), GPU To GPU Time (us), GPU To GPU Speed (GiB/s), GPU To Readback Time (us), GPU To Readback Speed (GiB/s)
1024,5.57,0.171216,4.81,0.198269,4.83,0.197448
16384,6.43,2.37306,4.58,3.33161,4.62,3.30277
32768,7.46,4.09083,4.55,6.70716,4.56,6.69245
65536,9.69,6.29878,5.2,11.7375,5.25,11.6257
131072,11.14,10.9578,1.43,85.3639,1.72,70.9711
262144,20.55,11.8803,1.51,161.683,2.03,120.266
393216,29.91,12.2438,1.64,223.299,2.45,149.474
524288,38.95,12.5361,1.88,259.724,2.65,184.257
786432,57.46,12.7466,2.51,291.802,12.24,59.8384
1048576,75.9,12.8664,4.04,241.723,28.73,33.991
2097152,150.56,12.9724,8.73,223.726,113.87,17.1522
3145728,224.43,13.0539,12.44,235.505,188.99,15.5018
4194304,298.3,13.095,16.15,241.873,266.6,14.6521
6291456,446.24,13.1305,23.72,247.023,418.15,14.0126
8388608,595,13.1303,31.22,250.24,570.63,13.691
12582912,891.28,13.1482,46.12,254.093,870.03,13.4694
16777216,1187.4,13.159,61.47,254.189,1174.39,13.3048
20971520,1483.8,13.163,77.68,251.432,1482.98,13.1703
25165824,1779.77,13.1688,176.13,133.069,1785.21,13.1287
33554432,2371.62,13.1766,306.93,101.815,2388.71,13.0824
50331648,3562,13.1597,482.91,97.0678,3600.64,13.0185
67108864,4742.98,13.1774,645.15,96.8767,4833.03,12.9318
100663296,7113.58,13.179,975.31,96.1233,7248.92,12.933
134217728,9484.05,13.18,1314.32,95.1062,9649.53,12.954
268435456,18967.9,13.1801,2684.39,93.131,19329.3,12.9337
536870912,37946.8,13.1764,5379.53,92.9449,38883.6,12.8589
1073741824,75878.5,13.179,10843.2,92.2241,77253.9,12.9443
